metric	value
flow	rnaseq-enrichment-flow
version	0.1.0-r3
gene_sets	2274
gmt_unique_genes	4820
gene_list_genes	354
ranked_genes	5660
background_genes	7127
gene_list_gmt_overlap	262
ranked_gmt_overlap	4582
ora_result_count	304
gsea_result_count	1428
plot_source	ora
rendered_plot_source	ora
plot_terms	20
plot_label_wrap_width	48
plot_width_inches	12.5
plot_height_inches	12.6
classic_plot_terms	20
classic_label_wrap_width	72
ora_barplot_terms	20
gsea_nes_terms	20
gsea_curve_terms	6
gsea_curve_top_n	6
background_source	background.tsv
min_size	2
max_size	500
pvalue_cutoff	1
padj_method	BH
