#Transcript position	Transcript coverage profile
0.0	0.26623312398874066
1.0	0.5877771846020708
2.0	0.6568201704521983
3.0	0.7460306985776515
4.0	0.7647380044032573
5.0	0.7333629527540214
6.0	0.7366608751333984
7.0	0.790193956623674
8.0	0.8387490444657231
9.0	0.8316103760951878
10.0	0.8406049133424397
11.0	0.7199993631156967
12.0	0.740496767249408
13.0	0.8179853043693414
14.0	0.6467408252846906
15.0	0.6170988239127809
16.0	0.6731524797807052
17.0	0.6490813353755867
18.0	0.6926388002973747
19.0	0.8113814575672214
20.0	0.9593538723480223
21.0	1.031453986210228
22.0	1.0329667950355381
23.0	0.9720730358249704
24.0	0.8614296542483495
25.0	0.7430269486442285
26.0	0.6984381213450196
27.0	0.5875676916181286
28.0	0.5958791748417406
29.0	0.6121794208649012
30.0	0.5774545604296245
31.0	0.5681987039754959
32.0	0.548439266946954
33.0	0.515809983593779
34.0	0.5173050419435427
35.0	0.5777257002226696
36.0	0.6570986767266107
37.0	0.5993647955401148
38.0	0.6096300924384669
39.0	0.6405504315471632
40.0	0.6555708101228759
41.0	0.6572298877326013
42.0	0.6603144488920621
43.0	0.6565995183154473
44.0	0.6747908765787616
45.0	0.6070578512659633
46.0	0.5699858016752514
47.0	0.5880619528448924
48.0	0.6140737995614349
49.0	0.5993182115239715
50.0	0.569551670087914
51.0	0.4963318071756572
52.0	0.52005472557021
53.0	0.5864788014054166
54.0	0.5761145107700855
55.0	0.5733408762556397
56.0	0.5285088601446304
57.0	0.42320068583999726
58.0	0.4617831179825707
59.0	0.5380494948295268
60.0	0.6155457709490181
61.0	0.6540284409189636
62.0	0.5962768691532214
63.0	0.5206469352816632
64.0	0.5034380475901881
65.0	0.4854680381315846
66.0	0.5790666816919309
67.0	0.6591701696969309
68.0	0.6271833957573433
69.0	0.6026457536184816
70.0	0.5979204209243245
71.0	0.5957925871473523
72.0	0.5672091395852144
73.0	0.7104789615966887
74.0	0.6853359963710499
75.0	0.7019285778181733
76.0	0.6482258364653297
77.0	0.5721879102040869
78.0	0.508637180044547
79.0	0.4056662081609711
80.0	0.38651269037923713
81.0	0.4136991511849531
82.0	0.4728983691417179
83.0	0.5053204638340735
84.0	0.5067595175514689
85.0	0.4873186978114199
86.0	0.43132073535578946
87.0	0.5230491123005808
88.0	0.5297759815116854
89.0	0.486924496601795
90.0	0.5140917424072983
91.0	0.46992694560682263
92.0	0.43498343480553053
93.0	0.5344748437957892
94.0	0.5589711406099955
95.0	0.455360861741541
96.0	0.37465971770360584
97.0	0.22901637568646296
98.0	0.0729909215666179
99.0	0.002301644357719124
